kode_plat;provinsi;kode_akhir_awal;wilayah
BA;Sumatera Barat;A*/B*/O*/Q*/R*;Kota Padang
BA;Sumatera Barat;C*/X*;Kabupaten Lima Puluh Kota
BA;Sumatera Barat;D*;Kabupaten Pasaman
BA;Sumatera Barat;E*;Kabupaten Tanah Datar
BA;Sumatera Barat;F*;Kabupaten Padang Pariaman
BA;Sumatera Barat;G*/I*;Kabupaten Pesisir Selatan
BA;Sumatera Barat;H*;Kabupaten Solok
BA;Sumatera Barat;J*;Kota Sawahlunto
BA;Sumatera Barat;K*;Kabupaten Sijunjung
BA;Sumatera Barat;L*;Kota Bukittinggi
BA;Sumatera Barat;M*;Kota Payakumbuh
BA;Sumatera Barat;N*;Kota Padang Panjang
BA;Sumatera Barat;P*;Kota Solok
BA;Sumatera Barat;S*;Kabupaten Pasaman Barat
BA;Sumatera Barat;T*/Z*;Kabupaten Agam
BA;Sumatera Barat;U*;Kabupaten Kepulauan Mentawai
BA;Sumatera Barat;V*;Kabupaten Dharmasraya
BA;Sumatera Barat;W*;Kota Pariaman
BA;Sumatera Barat;Y*;Kabupaten Solok Selatan
BB;Sumatera Utara;A*/L*/M*;Kota Sibolga
BB;Sumatera Utara;B*;Kabupaten Tapanuli Utara
BB;Sumatera Utara;C*;Kabupaten Samosir
BB;Sumatera Utara;D*;Kabupaten Humbang Hasundutan
BB;Sumatera Utara;E*;Kabupaten Toba
BB;Sumatera Utara;F*/H*;Kota Padang Sidempuan
BB;Sumatera Utara;G*;Kabupaten Tapanuli Selatan
BB;Sumatera Utara;J*;Kabupaten Padang Lawas
BB;Sumatera Utara;K*;Kabupaten Padang Lawas Utara
BB;Sumatera Utara;N*;Kabupaten Tapanuli Tengah
BB;Sumatera Utara;Q*;Kabupaten Nias Utara
BB;Sumatera Utara;R*;Kabupaten Mandailing Natal
BB;Sumatera Utara;T*;Kota Gunungsitoli
BB;Sumatera Utara;U*;Kabupaten Nias Barat
BB;Sumatera Utara;V*;Kabupaten Nias
BB;Sumatera Utara;W*;Kabupaten Nias Selatan
BB;Sumatera Utara;Y*;Kabupaten Dairi
BB;Sumatera Utara;Z*;Kabupaten Pakpak Bharat
;;;
BD;Bengkulu;A*/C*/E*/L*;Kota Bengkulu
BD;Bengkulu;B*/M*;Kabupaten Bengkulu Selatan
BD;Bengkulu;D*/S*;Kabupaten Bengkulu Utara
BD;Bengkulu;G*;Kabupaten Kepahiang
BD;Bengkulu;H*;Kabupaten Lebong
BD;Bengkulu;K*;Kabupaten Rejang Lebong
BD;Bengkulu;N*;Kabupaten Mukomuko
BD;Bengkulu;P*;Kabupaten Seluma
BD;Bengkulu;W*;Kabupaten Kaur
BD;Bengkulu;Y*;Kabupaten Bengkulu Tengah
;;;
BE;Lampung;A**/B*/C*/Y**;Kota Bandar Lampung
BE;Lampung;D**/E*/O*;Kabupaten Lampung Selatan
BE;Lampung;F**;Kota Metro
BE;Lampung;G**/H*/I*;Kabupaten Lampung Tengah
BE;Lampung;J**/K*;Kabupaten Lampung Utara
BE;Lampung;L**;Kabupaten Mesuji
BE;Lampung;M**;Kabupaten Lampung Barat
BE;Lampung;N**/P*;Kabupaten Lampung Timur
BE;Lampung;Q**;Kabupaten Tulang Bawang Barat
BE;Lampung;R**;Kabupaten Pesawaran
BE;Lampung;S**/T*;Kabupaten Tulang Bawang
BE;Lampung;V**/Z*;Kabupaten Tanggamus
BE;Lampung;U**;Kabupaten Pringsewu
BE;Lampung;W**;Kabupaten Way Kanan
BE;Lampung;X**;Kabupaten Pesisir Barat
;;;
BG;Sumatera Selatan;A**/I*/L**/M*/N*;Kota Palembang
BG;Sumatera Selatan;P*/Q*/R*/U*/X*/Z*;Kota Palembang
BG;Sumatera Selatan;B**;Kabupaten Musi Banyuasin
BG;Sumatera Selatan;C**;Kota Prabumulih
BG;Sumatera Selatan;D**;Kabupaten Muara Enim
BG;Sumatera Selatan;E**;Kabupaten Lahat
BG;Sumatera Selatan;F**;Kabupaten Ogan Komering Ulu
BG;Sumatera Selatan;G**;Kabupaten Musi Rawas
BG;Sumatera Selatan;H**;Kota Lubuk Linggau
BG;Sumatera Selatan;J**;Kabupaten Banyuasin
BG;Sumatera Selatan;K**;Kabupaten Ogan Komering Ilir
BG;Sumatera Selatan;O**;Kabupaten Penukal Abab Lematang Ilir
BG;Sumatera Selatan;S**;Kabupaten Empat Lawang
BG;Sumatera Selatan;T**;Kabupaten Ogan Ilir
BG;Sumatera Selatan;V**;Kabupaten Ogan Komering Ulu Selatan
BG;Sumatera Selatan;W**;Kota Pagar Alam
BG;Sumatera Selatan;Y**;Kabupaten Ogan Komering Ulu Timur
;;;
BH;Jambi;A*/L*/M*/N*/Y*/Z*;Kota Jambi
BH;Jambi;B*/V*;Kabupaten Batanghari
BH;Jambi;C*/W*;Kabupaten Tebo
BH;Jambi;D*;Kabupaten Kerinci
BH;Jambi;E*;Kabupaten Tanjung Jabung Barat
BH;Jambi;F*/P*;Kabupaten Merangin
BH;Jambi;G*/H*;Kabupaten Muaro Jambi
BH;Jambi;K*/U*;Kabupaten Bungo
BH;Jambi;R*;Kota Sungai Penuh
BH;Jambi;Q*/S*;Kabupaten Sarolangun
BH;Jambi;T*;Kabupaten Tanjung Jabung Timur
;;;
BK;Sumatera Utara;A**/B*/C*/D*/E*/F*;Kota Medan
BK;Sumatera Utara;G*/H*/I*/K*/L**;Kota Medan
BK;Sumatera Utara;J**;Kabupaten Labuhanbatu Utara
BK;Sumatera Utara;M**;Kabupaten Deli Serdang
BK;Sumatera Utara;N**;Kota Tebing Tinggi
BK;Sumatera Utara;O**;Kabupaten Batubara
BK;Sumatera Utara;P**;Kabupaten Langkat
BK;Sumatera Utara;Q**;Kota Tanjung Balai
BK;Sumatera Utara;R**;Kota Binjai
BK;Sumatera Utara;S**;Kabupaten Karo
BK;Sumatera Utara;T**/U*;Kabupaten Simalungun
BK;Sumatera Utara;V**;Kabupaten Asahan
BK;Sumatera Utara;W**;Kota Pematang Siantar
BK;Sumatera Utara;X**;Kabupaten Serdang Bedagai
BK;Sumatera Utara;Y**;Kabupaten Labuhanbatu
BK;Sumatera Utara;Z**;Kabupaten Labuhanbatu Selatan
;;;
